distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,SP98,cost
11.8,4.4,33,22.5,8,0,0,0,0,0.8566800000000001
7.4,5.0,31,22.5,12,0,0,0,0,0.6105
12.4,4.7,55,22.5,14,0,0,1,0,0.9616199999999999
2.0,6.0,22,22.5,14,0,0,0,0,0.19799999999999998
14.0,5.0,41,22.5,8,0,0,0,0,1.155
25.7,5.0,45,22.5,7,0,0,0,0,2.12025
11.8,4.5,28,22.5,12,0,0,0,0,0.87615
4.1,5.4,24,22.5,13,0,0,0,0,0.36530999999999997
4.2,5.6,29,22.0,17,0,0,0,0,0.38808
4.2,3.9,29,22.0,18,0,0,1,0,0.27027
16.0,4.0,40,22.0,10,0,0,0,0,1.056
15.4,4.5,50,22.0,14,0,0,0,0,1.1434499999999999
16.0,3.8,41,22.0,12,0,0,0,0,1.0031999999999999
4.2,5.6,32,22.0,18,0,0,0,0,0.38808
101.9,5.2,75,22.0,18,0,0,0,0,8.743020000000001
93.9,4.8,88,23.0,18,1,0,1,0,7.4368799999999995
25.7,4.9,50,22.0,10,0,1,0,1,2.2402947
16.0,4.1,40,22.0,10,0,0,0,1,1.1670239999999998
16.1,4.5,32,22.0,19,0,0,0,1,1.2888855
16.0,4.4,40,22.0,7,1,1,0,1,1.252416
16.0,4.5,41,22.0,11,0,0,0,1,1.2808799999999998
24.7,4.5,26,22.0,10,0,0,0,1,1.9773584999999998
16.0,3.9,42,22.0,8,0,0,0,1,1.110096
15.4,4.6,43,22.0,16,0,0,0,1,1.2602435999999997
16.0,3.8,40,22.0,8,0,0,0,1,1.081632
32.1,4.5,50,22.0,16,0,0,0,1,2.5697655
25.9,4.4,40,22.0,14,0,0,0,1,2.0273484
48.6,4.3,44,22.0,12,0,0,0,1,3.7177541999999995
37.2,4.0,45,22.0,20,0,0,1,1,2.647152
28.8,3.9,35,22.0,15,0,0,1,1,1.9981728000000003
6.7,5.0,30,22.0,17,0,0,0,1,0.595965
7.4,4.1,25,22.0,18,0,0,1,1,0.5397486
17.3,4.1,22,22.0,25,0,0,1,1,1.2618447
6.6,5.6,43,22.0,16,0,0,0,1,0.6575184
14.3,4.1,26,22.0,20,0,0,0,1,1.0430277000000001
13.3,4.6,33,22.0,18,0,0,0,1,1.0883922
8.3,4.9,26,22.0,23,0,0,0,1,0.7235193000000001
12.7,4.5,39,22.0,27,0,0,1,1,1.0166985
16.5,4.1,47,22.0,14,0,0,0,1,1.2034935
20.6,4.1,38,22.0,21,0,0,0,1,1.5025434
16.3,4.5,58,22.0,16,0,0,0,1,1.3048965
18.7,4.2,65,25.0,18,1,0,1,1,1.3972266
36.5,3.9,54,23.0,18,0,0,1,1,2.5324065
19.0,5.0,35,22.0,15,1,0,1,1,1.6900499999999998
16.6,4.4,46,22.0,5,1,0,0,1,1.2993816
29.9,4.5,32,22.0,18,1,0,0,1,2.3936444999999997
16.0,3.8,42,22.0,11,0,0,0,1,1.081632
21.1,5.1,33,22.0,10,0,1,0,1,1.9143819
16.0,3.9,40,22.0,10,0,0,0,1,1.110096
11.9,5.3,34,22.0,13,0,0,0,1,1.1220153
10.1,4.2,35,22.0,16,0,0,0,1,0.7546517999999999
31.9,4.3,33,22.0,16,0,0,0,1,2.4402543
18.7,4.0,60,22.0,13,0,0,0,1,1.330692
10.8,4.7,48,22.0,17,0,0,1,1,0.9030204000000001
19.8,4.0,56,22.0,17,0,0,1,1,1.408968
11.3,4.3,38,22.0,17,0,0,0,1,0.8644160999999999
11.5,5.3,53,22.0,15,0,0,0,1,1.0843005000000001
21.4,5.2,51,22.0,13,0,0,0,1,1.9796711999999999
32.0,4.9,53,22.0,15,0,0,0,1,2.789472
41.9,4.7,53,22.0,14,0,0,0,1,3.5033847
211.0,4.6,80,22.0,20,0,0,0,1,17.266973999999998
216.1,5.3,90,22.0,21,0,0,1,1,20.3754207
25.5,3.6,27,22.0,27,0,0,1,1,1.633122
16.6,4.2,52,22.0,15,0,1,0,1,1.2403188
25.9,4.1,43,22.0,24,0,0,0,1,1.8891200999999995
16.5,4.0,48,22.0,15,0,0,0,1,1.17414
22.1,3.9,29,22.0,26,0,0,0,1,1.5333200999999999
16.6,3.7,49,22.0,17,0,0,0,0,1.01343
15.4,4.5,43,22.0,24,0,0,0,0,1.1434499999999999
16.5,3.9,43,22.0,17,0,0,0,0,1.061775
15.4,5.1,21,22.0,24,0,0,0,0,1.29591
18.4,4.2,59,22.0,24,0,0,0,0,1.27512
39.5,4.2,58,22.0,25,0,0,0,0,2.73735
21.5,4.8,47,25.0,27,1,0,1,0,1.7027999999999999
4.8,4.7,26,25.0,18,0,0,0,0,0.37224
100.9,4.7,87,23.5,22,0,0,0,0,7.824795000000002
129.7,4.6,58,24.0,21,0,0,0,0,9.844229999999998
16.6,3.8,43,21.5,16,0,0,0,0,1.04082
15.4,4.2,50,21.5,21,0,0,0,0,1.06722
16.0,3.7,45,22.0,17,0,0,0,0,0.9768000000000001
16.0,4.2,41,22.0,15,0,0,0,0,1.1088
15.4,4.1,45,22.0,24,0,0,0,0,1.04181
16.0,4.0,43,22.0,16,0,0,0,0,1.056
21.0,3.8,37,22.0,21,0,0,0,0,1.3166999999999998
15.4,3.8,47,22.0,24,0,0,0,0,0.9655799999999999
16.0,3.8,42,22.0,17,0,0,0,0,1.0031999999999999
16.1,5.1,30,25.0,16,1,1,0,0,1.3548149999999999
16.0,4.0,42,22.0,15,0,0,0,0,1.056
15.4,4.8,40,22.0,18,0,0,0,0,1.2196799999999999
17.2,3.9,35,22.0,16,0,0,0,0,1.10682
16.6,4.6,50,22.0,25,0,0,0,0,1.2599399999999998
18.3,4.3,46,22.0,16,0,0,0,1,1.3998950999999997
16.1,4.8,36,22.0,18,0,1,0,1,1.3748112
16.0,4.1,46,22.0,17,0,0,0,1,1.1670239999999998
16.3,4.0,35,22.0,23,0,0,0,1,1.159908
16.0,3.7,44,22.0,16,0,0,0,1,1.053168
18.3,4.3,46,22.0,23,0,0,0,1,1.3998950999999997
4.5,5.2,23,22.0,23,0,0,1,1,0.41628599999999993
17.0,4.2,48,22.0,16,0,0,0,1,1.2702060000000002
6.1,5.0,35,24.5,18,0,0,0,1,0.5425949999999999
6.1,5.0,33,22.0,24,0,0,1,1,0.5425949999999999
17.3,4.2,36,22.0,22,0,0,0,1,1.2926214000000003
6.0,4.8,27,22.0,17,0,0,0,1,0.5123519999999999
16.0,4.1,45,22.0,15,0,0,0,1,1.1670239999999998
15.4,4.9,55,22.0,18,0,0,0,1,1.3424334
15.4,4.3,39,22.0,23,0,0,0,1,1.1780538
16.0,3.9,35,22.0,18,0,0,0,1,1.110096
15.4,4.5,52,22.0,26,0,0,0,1,1.2328469999999998
16.6,4.1,48,25.5,30,1,0,1,1,1.2107873999999998
15.4,5.0,48,25.5,31,1,0,0,1,1.3698299999999999
16.0,4.0,43,22.0,21,1,0,0,1,1.13856
15.4,4.5,42,22.0,30,0,0,0,1,1.2328469999999998
16.0,3.6,43,22.0,19,0,0,0,1,1.024704
20.9,4.1,33,22.0,21,0,0,0,1,1.5244250999999998
32.1,3.9,47,22.0,26,0,0,0,1,2.2271301
15.3,6.6,16,24.0,27,1,0,0,1,1.7964342
28.5,4.0,44,25.0,23,1,0,0,1,2.0280599999999995
11.9,3.7,33,25.0,19,0,0,0,1,0.7832937000000001
14.5,4.3,36,25.0,22,0,0,0,1,1.1092064999999998
16.6,4.1,49,22.0,26,0,0,1,1,1.2107873999999998
16.2,4.4,39,24.5,17,1,0,0,1,1.2680712
16.7,3.8,44,24.5,23,0,0,1,1,1.1289533999999999
8.3,5.0,52,24.5,27,0,0,0,1,0.7382850000000001
5.5,3.7,33,24.5,28,0,0,1,1,0.36202650000000003
13.6,3.7,33,24.5,28,0,0,1,1,0.8951928000000001
16.0,3.7,39,24.5,18,0,0,0,1,1.053168
16.1,4.3,38,25.0,31,1,0,0,1,1.2316017
16.0,3.8,45,25.0,19,0,0,0,1,1.081632
15.4,4.6,42,25.0,31,1,0,0,1,1.2602435999999997
14.7,5.0,25,25.0,30,1,0,0,1,1.3075649999999999
12.4,4.7,43,21.72988693801386,10,0,0,0,1,1.0368012
11.8,5.3,52,21.731760478708143,11,0,0,0,1,1.1125866
15.7,5.3,33,21.643106174106524,9,0,0,0,1,1.4803058999999998
12.9,5.7,35,21.612532721679933,9,0,0,0,1,1.3080987
6.4,4.4,37,21.73731764488953,10,0,0,0,1,0.5009664
5.3,4.1,34,21.71796659179536,9,0,0,0,1,0.38657669999999994
18.8,5.0,62,21.644610478274032,9,0,1,0,1,1.6722599999999999
22.2,3.8,42,21.98939035553239,15,0,0,0,1,1.5007644
12.6,4.1,33,22.01809411506524,17,0,0,0,1,0.9190313999999998
24.5,3.9,50,22.548040566726428,15,0,0,1,0,1.5765749999999998
22.9,4.0,29,22.30455713612761,21,0,0,0,0,1.5113999999999999
16.0,3.8,42,21.850344244155337,8,0,0,0,0,1.0031999999999999
