distance,consume,speed,speed_level,temp_inside,temp_outside,temp_level,gas_type,ac,rain,sun
14.3,4.8,36,Mid,22.5,10,Cold,E10,0,0,0
11.8,4.6,40,Mid,22.5,2,Cold,E10,0,0,0
16.9,4.5,48,Mid,22.5,9,Cold,E10,0,0,1
12.4,4.6,55,Mid,22.5,11,Mid,E10,0,0,1
17.4,4.4,36,Mid,22.5,12,Mid,E10,0,0,1
9.2,5.7,33,Mid,22.5,8,Cold,E10,0,1,0
12.3,5.8,54,Mid,22.5,10,Cold,E10,0,1,0
13.0,5.9,32,Mid,22.5,10,Cold,E10,0,0,0
11.8,6.1,16,Low,22.5,6,Cold,E10,0,1,0
13.0,5.7,37,Mid,22.5,11,Mid,E10,0,1,0
12.3,5.0,42,Mid,22.5,10,Cold,E10,0,0,0
12.3,5.2,57,Mid,22.5,15,Mid,E10,0,0,1
12.5,4.3,57,Mid,22.5,16,Mid,E10,0,0,1
31.5,4.1,30,Low,22.5,16,Mid,E10,0,0,1
11.8,4.4,42,Mid,22.5,8,Cold,E10,0,0,0
24.9,4.5,53,Mid,22.5,14,Mid,E10,0,0,0
17.0,3.9,46,Mid,22.5,14,Mid,E10,0,0,1
2.0,8.1,20,Low,22.5,14,Mid,E10,0,0,0
11.8,4.4,33,Mid,22.5,8,Cold,E10,0,0,0
7.4,5.0,31,Mid,22.5,12,Mid,E10,0,0,0
12.4,4.7,55,Mid,22.5,14,Mid,E10,0,0,1
2.0,6.0,22,Low,22.5,14,Mid,E10,0,0,0
14.0,5.0,41,Mid,22.5,8,Cold,E10,0,0,0
25.7,5.0,45,Mid,22.5,7,Cold,E10,0,0,0
24.5,3.9,50,Mid,22.0,15,Mid,E10,0,0,1
11.8,4.5,28,Low,22.5,12,Mid,E10,0,0,0
4.1,5.4,24,Low,22.5,13,Mid,E10,0,0,0
4.2,5.6,29,Low,22.0,17,Mid,E10,0,0,0
4.2,3.9,29,Low,22.0,18,Mid,E10,0,0,1
16.0,4.0,40,Mid,22.0,10,Cold,E10,0,0,0
22.9,4.0,29,Low,22.0,21,Mid,E10,0,0,0
16.0,3.8,42,Mid,22.0,8,Cold,E10,0,0,0
15.4,4.5,50,Mid,22.0,14,Mid,E10,0,0,0
16.0,3.8,41,Mid,22.0,12,Mid,E10,0,0,0
4.2,5.6,32,Mid,22.0,18,Mid,E10,0,0,0
101.9,5.2,75,High,22.0,18,Mid,E10,0,0,0
93.9,4.8,88,High,23.0,18,Mid,E10,1,0,1
25.7,4.9,50,Mid,22.0,10,Cold,SP98,0,1,0
16.0,4.1,40,Mid,22.0,10,Cold,SP98,0,0,0
16.1,4.5,32,Mid,22.0,19,Mid,SP98,0,0,0
16.0,4.4,40,Mid,22.0,7,Cold,SP98,1,1,0
16.0,4.5,41,Mid,22.0,11,Mid,SP98,0,0,0
24.7,4.5,26,Low,22.0,10,Cold,SP98,0,0,0
16.0,3.9,42,Mid,22.0,8,Cold,SP98,0,0,0
15.4,4.6,43,Mid,22.0,16,Mid,SP98,0,0,0
16.0,3.8,40,Mid,22.0,8,Cold,SP98,0,0,0
32.1,4.5,50,Mid,22.0,16,Mid,SP98,0,0,0
25.9,4.4,40,Mid,22.0,14,Mid,SP98,0,0,0
48.6,4.3,44,Mid,22.0,12,Mid,SP98,0,0,0
37.2,4.0,45,Mid,22.0,20,Mid,SP98,0,0,1
28.8,3.9,35,Mid,22.0,15,Mid,SP98,0,0,1
6.7,5.0,30,Low,22.0,17,Mid,SP98,0,0,0
7.4,4.1,25,Low,22.0,18,Mid,SP98,0,0,1
17.3,4.1,22,Low,22.0,25,Mid,SP98,0,0,1
6.6,5.6,43,Mid,22.0,16,Mid,SP98,0,0,0
14.3,4.1,26,Low,22.0,20,Mid,SP98,0,0,0
13.3,4.6,33,Mid,22.0,18,Mid,SP98,0,0,0
8.3,4.9,26,Low,22.0,23,Mid,SP98,0,0,0
12.7,4.5,39,Mid,22.0,27,Hot,SP98,0,0,1
16.5,4.1,47,Mid,22.0,14,Mid,SP98,0,0,0
20.6,4.1,38,Mid,22.0,21,Mid,SP98,0,0,0
16.3,4.5,58,Mid,22.0,16,Mid,SP98,0,0,0
18.7,4.2,65,Mid,25.0,18,Mid,SP98,1,0,1
36.5,3.9,54,Mid,23.0,18,Mid,SP98,0,0,1
19.0,5.0,35,Mid,22.0,15,Mid,SP98,1,0,1
16.6,4.4,46,Mid,22.0,5,Cold,SP98,1,0,0
29.9,4.5,32,Mid,22.0,18,Mid,SP98,1,0,0
16.0,3.8,42,Mid,22.0,11,Mid,SP98,0,0,0
21.1,5.1,33,Mid,22.0,10,Cold,SP98,0,1,0
16.0,3.9,40,Mid,22.0,10,Cold,SP98,0,0,0
11.9,5.3,34,Mid,22.0,13,Mid,SP98,0,0,0
10.1,4.2,35,Mid,22.0,16,Mid,SP98,0,0,0
31.9,4.3,33,Mid,22.0,16,Mid,SP98,0,0,0
18.7,4.0,60,Mid,22.0,13,Mid,SP98,0,0,0
10.8,4.7,48,Mid,22.0,17,Mid,SP98,0,0,1
19.8,4.0,56,Mid,22.0,17,Mid,SP98,0,0,1
